Brands,SKU,Name,Tags,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Taping Tools,CT77,Columbia Taper Drive Sprocket Large,"Columbia, drive sprocket, taper parts, CT77, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Drive Sprocket (Large) - CT77 | OEM Part","Genuine Columbia CT77 OEM large drive sprocket. Exact-fit replacement component ensures proper tool operation and restores original performance."
Columbia Taping Tools,CT78,Columbia Taper Drive Chain,"Columbia, drive chain, taper parts, CT78, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Drive Chain - CT78 | OEM Part","Genuine Columbia CT78 OEM drive chain. Transmits motion within the automatic taper mechanism to prevent timing errors and mechanism jamming."
Columbia Taping Tools,CT79,Columbia Taper Hollow Shaft,"Columbia, hollow shaft, taper parts, CT79, drive mechanism, bazooka parts, OEM replacement","Columbia Taper Hollow Shaft - CT79 | OEM Part","Precision Columbia CT79 OEM hollow shaft for automatic taper drive systems. Restores motion accuracy and consistent compound output."
Columbia Taping Tools,CT7A,Columbia Taper Side Plate Hub,"Columbia, side plate hub, taper parts, CT7A, structural plate, bazooka parts, OEM replacement","Columbia Taper Side Plate Hub - CT7A | OEM Part","Genuine Columbia CT7A OEM structural side plate hub. Essential for maintaining dimensional accuracy and structural integrity in automatic tapers."
Columbia Taping Tools,CT8,Columbia Taper Side Plate Support Right,"Columbia, side plate support, taper parts, CT8, structural bracket, bazooka parts, OEM replacement","Columbia Taper Side Plate Support (Right) - CT8 | OEM Part","Genuine Columbia CT8 OEM structural right side plate support. Essential for maintaining dimensional accuracy and structural integrity."
Columbia Taping Tools,CT81,Columbia Taper Clutch Return Spring,"Columbia, clutch spring, taper parts, CT81, tension spring, bazooka parts, OEM replacement","Columbia Taper Clutch Return Spring - CT81 | OEM Part","Genuine Columbia CT81 OEM tension spring for taper clutches. Maintains correct return force in the tool mechanism for consistent operation."
Columbia Taping Tools,CT85,Columbia Taper Clutch Release Shaft,"Columbia, clutch release shaft, taper parts, CT85, drive mechanism, bazooka parts, OEM replacement","Columbia Taper Clutch Release Shaft - CT85 | OEM Part","Precision Columbia CT85 OEM clutch release shaft for automatic taper drive systems. Restores motion accuracy and consistent compound output."
Columbia Taping Tools,CT86,Columbia Taper Toe Kicker Cable,"Columbia, toe kicker cable, taper parts, CT86, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Toe Kicker Cable - CT86 | OEM Part","Genuine Columbia CT86 OEM taper toe kicker cable. Exact-fit replacement component ensures proper tool operation and restores original performance."
Columbia Taping Tools,CT87A,Columbia Taper Bracket Base,"Columbia, bracket base, taper parts, CT87A, structural bracket, bazooka parts, OEM replacement","Columbia Taper Bracket Base - CT87A | OEM Part","Genuine Columbia CT87A OEM structural bracket base. Essential for maintaining dimensional accuracy and structural integrity in automatic tapers."
Columbia Taping Tools,CT87CS,Columbia Cover Plate Cork Seal,"Columbia, cork seal, taper parts, CT87CS, wiper seal, bazooka parts, OEM replacement","Columbia Taper Cover Plate Cork Seal - CT87CS | OEM Part","Genuine Columbia CT87CS OEM cork seal for cover plates. Prevents joint compound migration and protects internal mechanisms from contamination."
Columbia Taping Tools,CT88,Columbia Taper Clutch Release Rod,"Columbia, clutch release rod, taper parts, CT88, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Clutch Release Rod - CT88 | OEM Part","Genuine Columbia CT88 OEM taper clutch release rod. Exact-fit replacement component ensures proper tool operation and restores original performance."
Columbia Taping Tools,CT89,Columbia Taper Release Rod Sleeve,"Columbia, release rod sleeve, taper parts, CT89, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Release Rod Sleeve - CT89 | OEM Part","Genuine Columbia CT89 OEM taper release rod sleeve. Exact-fit replacement component ensures proper tool operation and restores original performance."
Columbia Taping Tools,CT92,Columbia Taper Release Clip,"Columbia, release clip, taper parts, CT92, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Release Clip - CT92 | OEM Part","Genuine Columbia CT92 OEM taper release clip. Secures components in their correct operating position within the automatic taper assembly."
Columbia Taping Tools,CT92A,Columbia Taper L Clip,"Columbia, L clip, taper parts, CT92A, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper L Clip Replacement - CT92A | OEM Part","Genuine Columbia CT92A OEM taper L clip. Secures critical components in position to prevent shifting or disengagement during operation."
Columbia Taping Tools,CT93,Columbia Taper Mud Shut Off Lever Arm,"Columbia, shut off lever, taper parts, CT93, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Mud Shut Off Lever Arm - CT93 | OEM Part","Genuine Columbia CT93 OEM mud shut-off lever arm. Exact-fit replacement component ensures proper tool operation and compound control."
Columbia Taping Tools,CT94,Columbia Taper Mud Shut Off Upper Plate,"Columbia, shut off plate, taper parts, CT94, structural plate, bazooka parts, OEM replacement","Columbia Taper Mud Shut Off Upper Plate - CT94 | OEM Part","Genuine Columbia CT94 OEM structural upper plate for mud shut-off. Essential for maintaining dimensional accuracy and structural integrity."
Columbia Taping Tools,CT95,Columbia Taper Control Valve,"Columbia, control valve, taper parts, CT95, mud valve, bazooka parts, OEM replacement","Columbia Taper Control Valve - CT95 | OEM Part","Genuine Columbia CT95 OEM control valve. Ensures consistent compound flow and prevents over-application or internal tool contamination."
Columbia Taping Tools,CT96,Columbia Taper Mud Shut Off Gasket,"Columbia, shut off gasket, taper parts, CT96, wiper seal, bazooka parts, OEM replacement","Columbia Taper Mud Shut Off Gasket - CT96 | OEM Part","Genuine Columbia CT96 OEM sealing gasket for mud shut-off. Prevents compound migration and protects internal parts from contamination."
Columbia Taping Tools,CT97,Columbia Taper Mud Supply Valve Body,"Columbia, valve body, taper parts, CT97, mud valve, bazooka parts, OEM replacement","Columbia Taper Mud Supply Valve Body - CT97 | OEM Part","Genuine Columbia CT97 OEM mud supply valve body. Ensures consistent compound flow and prevents internal tool contamination."
Columbia Taping Tools,CT98,Columbia Taper Mud Supply Seal Plate,"Columbia, seal plate, taper parts, CT98, wiper seal, bazooka parts, OEM replacement","Columbia Taper Mud Supply Seal Plate - CT98 | OEM Part","Genuine Columbia CT98 OEM sealing plate for mud supply. Prevents compound bypass and protects internal components from corrosion."
Columbia Taping Tools,CTA107,Columbia Piston Assembly for Taper,"Columbia, piston assembly, taper parts, CTA107, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Piston Assembly - CTA107 | OEM Part","Genuine Columbia CTA107 OEM taper piston assembly. Exact-fit replacement component ensures proper tool operation and mud pressure."
Columbia Taping Tools,CTA13,Columbia Taper Dog Base Bracket,"Columbia, dog base bracket, taper parts, CTA13, structural bracket, bazooka parts, OEM replacement","Columbia Taper Dog Base Bracket - CTA13 | OEM Part","Genuine Columbia CTA13 OEM structural bracket for drive dogs. Essential for maintaining dimensional accuracy and structural integrity."
Columbia Taping Tools,CTA41,Columbia Taper Cutter Block Assembly,"Columbia, cutter block assembly, taper parts, CTA41, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Cutter Block Assembly - CTA41 | OEM Part","Genuine Columbia CTA41 OEM taper cutter block assembly. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,CTA59,Columbia Taper Magnet,"Columbia, taper magnet, magnet, CTA59, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Magnet Replacement - CTA59 | OEM Part","Genuine Columbia CTA59 OEM taper magnet. Exact-fit replacement component ensures proper tool operation and restores original performance."
Columbia Taping Tools,CTA84,Columbia Cable Pulley Guide,"Columbia, pulley guide, taper parts, CTA84, bazooka parts, automatic taper parts, OEM replacement","Columbia Taper Cable Pulley Guide - CTA84 | OEM Part","Genuine Columbia CTA84 OEM cable pulley guide. Exact-fit replacement component ensures proper tool operation and restores original performance."
Columbia Taping Tools,CTA87CL,Columbia Cover Plate Assembly,"Columbia, cover plate assembly, taper parts, CTA87CL, structural plate, bazooka parts, OEM replacement","Columbia Taper Cover Plate Assembly - CTA87CL | OEM Part","Genuine Columbia CTA87CL OEM structural cover plate assembly. Essential for maintaining dimensional accuracy and structural integrity."
Columbia Taping Tools,CTA99,Columbia Removable Cover Plate Pin,"Columbia, cover plate pin, taper parts, CTA99, pivot pin, bazooka parts, OEM replacement","Columbia Cover Plate Pin Replacement - CTA99 | OEM Part","Genuine Columbia CTA99 OEM cover plate pin. Maintains precise pivoting alignment to ensure even compound application and proper operation."
Columbia Taping Tools,CTR1,Columbia Taper Maintenance Kit,"Columbia, taper repair kit, maintenance kit, CTR1, bazooka parts, OEM repair kit","Columbia Taper Maintenance Kit - CTR1 | OEM Parts","Genuine Columbia CTR1 OEM maintenance kit for automatic tapers. Provides all necessary components to restore proper tool function and extend service life."
Columbia Taping Tools,CTR42A,Columbia Taper Blades Maintenance Kit,"Columbia, taper blade kit, maintenance kit, CTR42A, bazooka parts, OEM repair kit","Columbia Taper Blades Maintenance Kit - CTR42A | OEM","Genuine Columbia CTR42A OEM maintenance kit for taper blades. Restores proper tool function and ensures clean tape cutoff performance."
Columbia Taping Tools,CTR72,Columbia Taper Cables Kit-3 per pack,"Columbia, taper cable kit, maintenance kit, CTR72, bazooka parts, OEM repair kit","Columbia Taper Cables Kit (3-Pack) - CTR72 | OEM Parts","Genuine Columbia CTR72 OEM cable maintenance kit for automatic tapers. Includes three exact-fit cables to restore proper tool function."
Columbia Taping Tools,DIRECTCORNERFLUSHER,Direct Corner Flusher,"Columbia, direct flusher, corner flusher, 2.5DF, 3DF, 3.5DF, 4DF, widetrack flusher","Columbia Direct Corner Flusher for High-Speed Finishing","Columbia Direct Corner Flushers are hand-ground and verified on granite for absolute perfection. Available in 2.5"" to 4"" sizes for flawless angle finishing."
Columbia Taping Tools,FA201,"Columbia 1/16"" X 3/8"" Split Pin","Columbia, split pin, pivot pin, FA201, taper parts, bazooka parts, OEM replacement","Columbia 1/16"" X 3/8"" Split Pin - FA201 | OEM Part","Genuine Columbia FA201 OEM precision split pin. Maintains pivoting alignment within the tool assembly to ensure even compound application."
Columbia Taping Tools,FA208,"Columbia 4-40 x 1/8"" Binder Slot","Columbia, binder slot, screw, FA208, taper parts, bazooka parts, OEM replacement","Columbia 4-40 x 1/8"" Binder Slot - FA208 | OEM Part","Genuine Columbia FA208 OEM 4-40 x 1/8"" binder slot. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA215,Columbia 4-40 x 5/16 Binder Slot,"Columbia, binder slot, screw, FA215, taper parts, bazooka parts, OEM replacement","Columbia 4-40 x 5/16 Binder Slot - FA215 | OEM Part","Genuine Columbia FA215 OEM 4-40 x 5/16 binder slot. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA220,"Columbia 4-40 X 3/4"" Bind Head Screw","Columbia, bind head screw, machine screw, FA220, taper parts, bazooka parts, OEM replacement","Columbia 4-40 X 3/4"" Bind Head Screw - FA220 | OEM Part","Genuine Columbia FA220 OEM 4-40 x 3/4"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA222,"Columbia 5-40 X 3/8"" Bind Head Screw","Columbia, bind head screw, machine screw, FA222, taper parts, bazooka parts, OEM replacement","Columbia 5-40 X 3/8"" Bind Head Screw - FA222 | OEM Part","Genuine Columbia FA222 OEM 5-40 x 3/8"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA224,"Columbia 1/8"" X 3/8"" Split Pin","Columbia, split pin, pivot pin, FA224, taper parts, bazooka parts, OEM replacement","Columbia 1/8"" X 3/8"" Split Pin - FA224 | OEM Part","Genuine Columbia FA224 OEM precision split pin. Maintains pivoting alignment within the tool assembly to ensure even compound application."
Columbia Taping Tools,FA225,"Columbia 1/8"" X 3/8"" Special Washer","Columbia, special washer, flat washer, FA225, taper parts, bazooka parts, OEM replacement","Columbia 1/8"" X 3/8"" Special Washer - FA225 | OEM Part","Genuine Columbia FA225 OEM special washer. Distributes load and prevents surface damage at fastener contact points in the tool assembly."
Columbia Taping Tools,FA231,"Columbia #6 X 3/8"" Hex Bolt","Columbia, hex bolt, machine screw, FA231, taper parts, bazooka parts, OEM replacement","Columbia #6 X 3/8"" Hex Bolt - FA231 | OEM Part","Genuine Columbia FA231 OEM #6 x 3/8"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA232,Columbia 6-32 Hex Nut,"Columbia, hex nut, nut, FA232, taper parts, bazooka parts, OEM replacement","Columbia 6-32 Hex Nut - FA232 | OEM Part","Genuine Columbia FA232 OEM 6-32 hex nut. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA234,Columbia 6-32 Nyloc Jam Nut,"Columbia, nyloc nut, jam nut, FA234, taper parts, bazooka parts, OEM replacement","Columbia 6-32 Nyloc Jam Nut - FA234 | OEM Part","Genuine Columbia FA234 OEM 6-32 nyloc jam nut. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA245,"Columbia 6-32 X 1/2"" Fill. Head Screw","Columbia, fillister head screw, machine screw, FA245, taper parts, bazooka parts, OEM replacement","Columbia 6-32 X 1/2"" Fill. Head Screw - FA245 | OEM Part","Genuine Columbia FA245 OEM 6-32 x 1/2"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA247,"Columbia 6-32 X 5/8"" Hex Bolt","Columbia, hex bolt, machine screw, FA247, taper parts, bazooka parts, OEM replacement","Columbia 6-32 X 5/8"" Hex Bolt - FA247 | OEM Part","Genuine Columbia FA247 OEM 6-32 x 5/8"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA252,Columbia #8 Star Washer,"Columbia, star washer, lock washer, FA252, taper parts, bazooka parts, OEM replacement","Columbia #8 Star Washer - FA252 | OEM Part","Genuine Columbia FA252 OEM #8 star washer. Distributes load and prevents surface damage at fastener contact points in the tool assembly."
Columbia Taping Tools,FA253,Columbia #8 Flat Washer,"Columbia, flat washer, washer, FA253, taper parts, bazooka parts, OEM replacement","Columbia #8 Flat Washer - FA253 | OEM Part","Genuine Columbia FA253 OEM #8 flat washer. Distributes load and prevents surface damage at fastener contact points in the tool assembly."
Columbia Taping Tools,FA256,"Columbia 8-32 x 3/16"" Pan Slot SS Screw","Columbia, pan head screw, machine screw, FA256, taper parts, bazooka parts, OEM replacement","Columbia 8-32 x 3/16"" Pan Slot SS Screw - FA256 | OEM","Genuine Columbia FA256 OEM 8-32 x 3/16"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA261,"Columbia 8-32 X 3/8"" Socket Hd Screw","Columbia, socket head screw, machine screw, FA261, taper parts, bazooka parts, OEM replacement","Columbia 8-32 X 3/8"" Socket Hd Screw - FA261 | OEM Part","Genuine Columbia FA261 OEM 8-32 x 3/8"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA262,"Columbia 8-32 X 1/2"" Socket Hd. Screw","Columbia, socket head screw, machine screw, FA262, taper parts, bazooka parts, OEM replacement","Columbia 8-32 X 1/2"" Socket Hd. Screw - FA262 | OEM Part","Genuine Columbia FA262 OEM 8-32 x 1/2"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA266,"Columbia 8-32 X 1"" Flat Head Screw","Columbia, flat head screw, machine screw, FA266, taper parts, bazooka parts, OEM replacement","Columbia 8-32 X 1"" Flat Head Screw - FA266 | OEM Part","Genuine Columbia FA266 OEM 8-32 x 1"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA267,"Columbia 8-32 X 1/2"" Pan Head Screw","Columbia, pan head screw, machine screw, FA267, taper parts, bazooka parts, OEM replacement","Columbia 8-32 X 1/2"" Pan Head Screw - FA267 | OEM Part","Genuine Columbia FA267 OEM 8-32 x 1/2"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA268,Columbia #10 Flat Washer,"Columbia, flat washer, washer, FA268, taper parts, bazooka parts, OEM replacement","Columbia #10 Flat Washer - FA268 | OEM Part","Genuine Columbia FA268 OEM #10 flat washer. Distributes load and prevents surface damage at fastener contact points in the tool assembly."
Columbia Taping Tools,FA270,"Columbia #10 X 3/4"" Fender Washer","Columbia, fender washer, washer, FA270, taper parts, bazooka parts, OEM replacement","Columbia #10 X 3/4"" Fender Washer - FA270 | OEM Part","Genuine Columbia FA270 OEM #10 x 3/4"" fender washer. Distributes load and prevents surface damage at fastener contact points."
Columbia Taping Tools,FA273,"Columbia 10-24 X 1"" Hex Bolt","Columbia, hex bolt, machine screw, FA273, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 1"" Hex Bolt - FA273 | OEM Part","Genuine Columbia FA273 OEM 10-24 x 1"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA274,"Columbia 10-24 X 3/8"" Socket Hd Screw","Columbia, socket head screw, machine screw, FA274, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 3/8"" Socket Hd Screw - FA274 | OEM Part","Genuine Columbia FA274 OEM 10-24 x 3/8"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA275,"Columbia 10-24 X 3/4"" Hex Bolt","Columbia, hex bolt, machine screw, FA275, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 3/4"" Hex Bolt - FA275 | OEM Part","Genuine Columbia FA275 OEM 10-24 x 3/4"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA276,Columbia 10-24 X 7/8 Pan Head Screw,"Columbia, pan head screw, machine screw, FA276, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 7/8 Pan Head Screw - FA276 | OEM Part","Genuine Columbia FA276 OEM 10-24 x 7/8 pan head screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA278,Columbia #8 Belleville Washer,"Columbia, belleville washer, spring washer, FA278, taper parts, bazooka parts, OEM replacement","Columbia #8 Belleville Washer - FA278 | OEM Part","Genuine Columbia FA278 OEM #8 belleville washer. Distributes load and maintains proper clamping force in the tool assembly."
Columbia Taping Tools,FA279,Columbia 10-24 X 1-1/4in Hex Bolt,"Columbia, hex bolt, machine screw, FA279, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 1-1/4in Hex Bolt - FA279 | OEM Part","Genuine Columbia FA279 OEM 10-24 x 1-1/4"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA280,Columbia #10 Belleville Washer,"Columbia, belleville washer, spring washer, FA280, taper parts, bazooka parts, OEM replacement","Columbia #10 Belleville Washer - FA280 | OEM Part","Genuine Columbia FA280 OEM #10 belleville washer. Distributes load and maintains proper clamping force in the tool assembly."
Columbia Taping Tools,FA281,Columbia 10-32 X Nyloc Jam Nut-2 per pack,"Columbia, nyloc nut, jam nut, FA281, taper parts, bazooka parts, OEM replacement","Columbia 10-32 X Nyloc Jam Nut (2-Pack) - FA281 | OEM","Genuine Columbia FA281 OEM 10-32 nyloc jam nut. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA285,"Columbia 1/4"" Plastic Washer","Columbia, plastic washer, washer, FA285, taper parts, bazooka parts, OEM replacement","Columbia 1/4"" Plastic Washer - FA285 | OEM Part","Genuine Columbia FA285 OEM 1/4"" plastic washer. Distributes load and prevents surface damage at fastener contact points."
Columbia Taping Tools,FA289,"Columbia Split Pin 1/4"" X 2""","Columbia, split pin, pivot pin, FA289, taper parts, bazooka parts, OEM replacement","Columbia Split Pin 1/4"" X 2"" - FA289 | OEM Part","Genuine Columbia FA289 OEM precision split pin. Maintains pivoting alignment within the tool assembly to ensure even compound application."
Columbia Taping Tools,FA290,Columbia 1/4-20 Nyloc Nut,"Columbia, nyloc nut, nut, FA290, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 Nyloc Nut - FA290 | OEM Part","Genuine Columbia FA290 OEM 1/4-20 nyloc nut. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA292,Columbia 1/4-20 Nyloc Jam Nut,"Columbia, nyloc nut, jam nut, FA292, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 Nyloc Jam Nut - FA292 | OEM Part","Genuine Columbia FA292 OEM 1/4-20 nyloc jam nut. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA294,"Columbia 1/4-20 X 3/8"" Socket Hd Screw","Columbia, socket head screw, machine screw, FA294, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 X 3/8"" Socket Hd Screw - FA294 | OEM Part","Genuine Columbia FA294 OEM 1/4-20 x 3/8"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA295,"Columbia 1/4-20 X 1/2"" Flat Socket","Columbia, flat socket, screw, FA295, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 X 1/2"" Flat Socket - FA295 | OEM Part","Genuine Columbia FA295 OEM 1/4-20 x 1/2"" flat socket. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA296,"Columbia 1/4-20 X 1/2"" Hex Bolt","Columbia, hex bolt, machine screw, FA296, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 X 1/2"" Hex Bolt - FA296 | OEM Part","Genuine Columbia FA296 OEM 1/4-20 x 1/2"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA298,"Columbia 1/4-20 X 7/8"" Flat Socket","Columbia, flat socket, screw, FA298, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 X 7/8"" Flat Socket - FA298 | OEM Part","Genuine Columbia FA298 OEM 1/4-20 x 7/8"" flat socket. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA300,"Columbia 1/4-20 X 2"" Hex Bolt","Columbia, hex bolt, machine screw, FA300, taper parts, bazooka parts, OEM replacement","Columbia 1/4-20 X 2"" Hex Bolt - FA300 | OEM Part","Genuine Columbia FA300 OEM 1/4-20 x 2"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA302,"Columbia 1/4-28 X 1/4"" Set Screw","Columbia, set screw, machine screw, FA302, taper parts, bazooka parts, OEM replacement","Columbia 1/4-28 X 1/4"" Set Screw - FA302 | OEM Part","Genuine Columbia FA302 OEM 1/4-28 x 1/4"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA305,"Columbia 5/16-18 X 3/4"" Hex Bolt","Columbia, hex bolt, machine screw, FA305, taper parts, bazooka parts, OEM replacement","Columbia 5/16-18 X 3/4"" Hex Bolt - FA305 | OEM Part","Genuine Columbia FA305 OEM 5/16-18 x 3/4"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA306,"Columbia 5/16-18 X 1-1/4"" Hex Bolt","Columbia, hex bolt, machine screw, FA306, taper parts, bazooka parts, OEM replacement","Columbia 5/16-18 X 1-1/4"" Hex Bolt - FA306 | OEM Part","Genuine Columbia FA306 OEM 5/16-18 x 1-1/4"" hex bolt. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA308,"Columbia 33/64 X 7/8"" Flat Washer","Columbia, flat washer, washer, FA308, taper parts, bazooka parts, OEM replacement","Columbia 33/64 X 7/8"" Flat Washer - FA308 | OEM Part","Genuine Columbia FA308 OEM 33/64 x 7/8"" flat washer. Distributes load and prevents surface damage at fastener contact points."
Columbia Taping Tools,FA312,"Columbia 10-24 X 1/4"" Set Screw","Columbia, set screw, machine screw, FA312, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 1/4"" Set Screw - FA312 | OEM Part","Genuine Columbia FA312 OEM 10-24 x 1/4"" machine screw. Precision hardware fastener ensures proper tool assembly and prevents premature wear."
Columbia Taping Tools,FA314,Columbia 10-24 X 1-1/2 Pan Slot,"Columbia, pan slot, screw, FA314, taper parts, bazooka parts, OEM replacement","Columbia 10-24 X 1-1/2 Pan Slot - FA314 | OEM Part","Genuine Columbia FA314 OEM 10-24 x 1-1/2 pan slot. Exact-fit replacement component ensures proper tool operation and restores performance."
Columbia Taping Tools,FA379,"Columbia 1/4"" E-Clip for Matrix Handle","Columbia, e-clip, retainer clip, FA379, matrix handle parts, spring clip, OEM replacement","Columbia 1/4"" E-Clip for Matrix Handle - FA379 | OEM Part","Genuine Columbia FA379 OEM 1/4"" e-clip for Matrix handles. Secures components in position to prevent shifting or disengagement during operation."
Columbia Taping Tools,FA380,"Columbia 1/8"" E-Clip for Matrix Handle","Columbia, e-clip, retainer clip, FA380, matrix handle parts, spring clip, OEM replacement","Columbia 1/8"" E-Clip for Matrix Handle - FA380 | OEM Part","Genuine Columbia FA380 OEM 1/8"" e-clip for Matrix handles. Secures critical components in position to prevent shifting during operation."
Columbia Taping Tools,FATBOYBOXES,Fat Boy Boxes,"Columbia, flat box, fat boy box, high capacity box, 5.5FBB, 8FBB, 10FBB, 12FBB","Columbia Fat Boy High Capacity Flat Finishing Boxes","Columbia Fat Boy Boxes are the highest capacity and smoothest finishing boxes on the market. Holds 30% more mud for longer runs and fewer refills."
Columbia Taping Tools,FATBOYSMOOTHINGBLADES,Fat Boy Smoothing Blades,"Columbia, smoothing blade, fat boy blade, FSB7, FSB10, FSB12, FSB14, FSB16, FSB18, FSB24, FSB32, FSB40, FSB48, skimming blade","Columbia Fat Boy Smoothing Skimming Blades","Columbia Fat Boy Smoothing Blades feature a lightweight rubberized ergonomic grip and replaceable stainless steel blades for professional, even finishes."
Columbia Taping Tools,FFB17,Columbia Door Spring,"Columbia, door spring, box parts, FFB17, tension spring, finishing box parts, OEM replacement","Columbia Finishing Box Door Spring - FFB17 | OEM Part","Genuine Columbia FFB17 OEM tension spring for finishing box doors. Restores correct return force to prevent operation and application issues."
Columbia Taping Tools,FFB43,Columbia Bead Wheel Bushing,"Columbia, bead wheel bushing, box parts, FFB43, precision bushing, finishing box parts, OEM replacement","Columbia Bead Wheel Bushing - FFB43 | OEM Part","Genuine Columbia FFB43 OEM precision bead wheel bushing. Reduces rotational friction and maintains alignment within the finishing box assembly."
Columbia Taping Tools,FINISHINGBOXMAINTENANCEKITS,Finishing Box Maintenance Kits,"Columbia, flat box repair kit, maintenance kit, FINISHINGBOXMAINTENANCEKITS, box parts, OEM repair kit","Columbia Finishing Box Maintenance Kits | OEM Parts","Keep your flat boxes at peak performance with genuine Columbia Maintenance Kits. Exact-fit OEM parts ensure smooth compound application and long life."
Columbia Taping Tools,FINISHINGHAWKS,Finishing Hawks,"Columbia, finishing hawk, aluminum hawk, 13-H-S, hand tools, milled grooves hawk","Columbia 13"" Aluminum Finishing Hawks | Milled Grooves","Professional 13"" Columbia Finishing Hawks made from high-quality aluminum. Features milled grooves for material control and ergonomic cork handles."
Columbia Taping Tools,FLATBOXES,Flat Boxes,"Columbia, flat box, finishing box, 5.5FFB, 7FFB, 8FFB, 10FFB, 12FFB, 14FFB","Columbia Professional Flat Finishing Boxes","Columbia offers the widest range of high-quality flat boxes. Renowned for being the smoothest finishing and easiest to push in the industry."
Columbia Taping Tools,FLATBOXHANDLE,Flat Box Handle,"Columbia, flat box handle, 180 grip, 3BH, 42BH, 4BH, 5BH, 6BH, billet aluminum","Columbia 180-Grip Flat Box Handle System","Professional Columbia Flat Box Handles with a full 180-degree braking span. Lightweight billet aluminum with comfort grips for years of rugged use."
Columbia Taping Tools,FMH,Columbia L-Trim Mud Applicator Head,"Columbia, mud head, applicator head, FMH, L-trim head, grooved head, billet aluminum","Columbia L-Trim Mud Applicator Head - FMH | Billet","Columbia FMH Mud Heads feature proportionate grooves for consistent mud distribution and faster pre-filling. Machined from top-quality UHMW materials."
