brand,wc_row_number,wc_type,wc_sku,wc_mpn,wc_parent,wc_name,wc_short_description_empty,wc_description_empty,wc_categories,wc_images_count,reference_match_status,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,part_reference_name,part_reference_price,proposed_name,proposed_short_description,proposed_description,proposed_categories,proposed_images,can_update_name,can_update_short_description,can_update_description,can_update_categories,can_update_images,priority,optimization_reasons,notes
TapeTech,957,simple,ATX01TT,ATX01TT,,TapeTech Automatic Taper Extension,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,3,matched_by_mpn,ATX01TT,TapeTech Automatic Taper Extension,Automatic Tapers,15,TapeTech catalog page 15,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > Automatic Taper Extension,,,TapeTech Automatic Taper Extension,TapeTech Automatic Taper Extension ATX01TT,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > Automatic Taper Extension,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14516/14516__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14516/14516__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14516/14516__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14516/14516__4.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14516/14516__5.webp",0,0,0,1,0,update_candidate,category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,958,simple,BAN001-TT,BAN001-TT,,TapeTech MudDog™ Premium Banjo Taper,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,15,matched_by_mpn,BAN001TT,TapeTech MudDogTM Premium Taping Banjo,MudDog Premium Banjo,57,TapeTech catalog page 57,,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > MudDog Banjo > MudDog Premium Banjo,,,TapeTech MudDogTM Premium Taping Banjo,TapeTech Mud Dog Banjo,,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > MudDog Banjo > MudDog Premium Banjo,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16777/16777_TapeTechMudDogPremiumTapingBanjo_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16777/16777_TapeTechMudDogPremiumTapingBanjo_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16777/16777_TapeTechMudDogPremiumTapingBanjo_003.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16777/16777_TapeTechMudDogPremiumTapingBanjo_004.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,959,simple,BH,BH,,TapeTech Brakeless Box Handle - Fixed Length,0,0,Drywall Finishing Tools > TapeTech > Finishing Boxes,4,matched_by_mpn,BH,TapeTech Brakeless Finishing Box Handle,Brakeless Finishing Box Handles,33,TapeTech catalog page 33,,,,,TapeTech Brakeless Finishing Box Handle,TapeTech Brakeless Flat Box Handle BH,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16789/16789_TapeTechBrakelessFlatBoxHandleBH_001.webp,1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,960,simple,BHE,BHE,,TapeTech Brakeless Box Handle - Extendable,0,0,Drywall Finishing Tools > TapeTech > Finishing Boxes,7,matched_by_mpn,BHE,TapeTech Extendable Brakeless Finishing Box Handle,Brakeless Finishing Box Handles,33,TapeTech catalog page 33,,,,,TapeTech Extendable Brakeless Finishing Box Handle,TapeTech Brakeless Extendable Flat Box Handle BHE,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16790/16790_TapeTechBrakelessExtendableFlatBoxHandleBHE_001.webp,1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,961,simple,BHE-SW,BHE-SW,,TapeTech SideWinder™ Extendable Brakeless Box Handle,0,0,Drywall Finishing Tools > TapeTech > Finishing Boxes,8,matched_by_mpn,BHE-SW,TapeTech SideWinder Brakeless Flat Box Handle,SideWinder Brakeless Finishing Box Handle,34,TapeTech catalog page 34,,,,,TapeTech SideWinder Brakeless Flat Box Handle,TapeTech SideWinder Brakeless Flat Box Handle,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17988/17988_Sidewinder_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17988/17988_Sidewinder_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17988/17988_Sidewinder_003.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17988/17988_Sidewinder_004.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17988/17988_Sidewinder_005.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/17988/17988_Sidewinder_007.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,962,variation,CA-TT-7,CA-TT-7,CA-TT,"TapeTech Corner Applicator - TapeTech, 7",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,963,variation,CA-TT-8,CA-TT-8,CA-TT,"TapeTech Corner Applicator - TapeTech, 8",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,968,variation,CCAGE04,CCAGE04,TT-CRF,"TapeTech Compound Roller Frames - TapeTech, 4",1,1,,1,matched_by_mpn,CCAGE04,"TapeTech 4"" Compound Roller Frame",Compound Rollers,46,TapeTech catalog page 46,,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,,,"TapeTech 4"" Compound Roller Frame","TapeTech 4"" Compound Roller Frame CCAGE04 TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings...",,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,"https://www.shopamestools.com/Item_Images_AMES/18460_CROLL04_001.jpg, https://www.shopamestools.com/Item_Images_AMES/18460_CROLL04_002.JPG, https://www.shopamestools.com/Item_Images_AMES/18460_CROLL04_003.JPG, https://www.shopamestools.com/Item_Images_AMES/18460_CROLL04_004.JPG, https://www.shopamestools.com/Item_Images_AMES/18460_CROLL04_005.JPG",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,969,variation,CCAGE09,CCAGE09,TT-CRF,"TapeTech Compound Roller Frames - TapeTech, 9",1,1,,1,matched_by_mpn,CCAGE09,"TapeTech 9"" Roller Frame",Compound Rollers,46,TapeTech catalog page 46,,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,,,"TapeTech 9"" Roller Frame","TapeTech 9"" Compound Roller Cage CCAGE09",,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18461/18461_CCAGE09_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18461/18461_CCAGE09_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18461/18461_CCAGE09_003.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18461/18461_CCAGE09_004.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18461/18461_CCAGE09_005.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,970,variation,CCAGE12,CCAGE12,TT-CRF,"TapeTech Compound Roller Frames - TapeTech, 12",1,1,,1,matched_by_mpn,CCAGE12,"TapeTech 12"" Compound Roller Frame",Compound Rollers,46,TapeTech catalog page 46,,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,,,"TapeTech 12"" Compound Roller Frame","TapeTech 12"" Compound Roller Frame CCAGE12",,Drywall Finishing Tools > TapeTech > Compound Rollers > Roller Cages > Roller Cage,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18462/18462_CCAGE12_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18462/18462_CCAGE12_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18462/18462_CCAGE12_003.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18462/18462_CCAGE12_004.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18462/18462_CCAGE12_005.webp",0,1,0,0,0,update_candidate,short description empty/duplicated and reference short description available,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,971,simple,CFA-TT,CFA-TT,,TapeTech Corner Finisher Adapter,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,2,matched_by_mpn,CFA-TT,TapeTech Corner Finisher Handle Adapter,Support Handles & Adapters,36,TapeTech catalog page 36,,,,,TapeTech Corner Finisher Handle Adapter,TapeTech Corner Finisher Handle Adapter CFA-TT,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14154/14154__1.webp,1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,972,variable,CFBOX-TT,CFBOX-TT,,TapeTech Continuous Flow Finishing Box,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,0,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,975,variation,CFBOX-TT-7,CFBOX-TT-7,CFBOX-TT,"TapeTech Continuous Flow Finishing Box - TapeTech, 7",1,1,,0,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,976,variation,CFBOX-TT-10,CFBOX-TT-10,CFBOX-TT,"TapeTech Continuous Flow Finishing Box - TapeTech, 10",1,1,,0,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,977,variation,CFBOX-TT-12,CFBOX-TT-12,CFBOX-TT,"TapeTech Continuous Flow Finishing Box - TapeTech, 12",1,1,,0,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,978,simple,CFH40TT,CFH40TT,,"TapeTech Bazooka CFS 40"" Continuous Flow Support Handle",0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,979,simple,CFH66TT,CFH66TT,,"TapeTech Bazooka CFS 66"" Continuous Flow Support Handle",0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,980,simple,CFK01TT,CFK01TT,,TapeTech Corner Flusher Roller Kit,0,0,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,1,matched_by_mpn,CFK01TT,TapeTech Roller Wheel Kit for Corner Flushers,Semi-Automatic Taping Tools,58,TapeTech catalog page 58,,,,,TapeTech Roller Wheel Kit for Corner Flushers,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13766/13766__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13766/13766__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13766/13766__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13766/13766__4.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,981,simple,CFK02TT,CFK02TT,,TapeTech Corner Flusher Creaser Wheel Kit,0,0,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,1,matched_by_mpn,CFK02TT,TapeTech Creaser Wheel Kit for Corner Flushers,Semi-Automatic Taping Tools,58,TapeTech catalog page 58,,,,,TapeTech Creaser Wheel Kit for Corner Flushers,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13767/13767__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13767/13767__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13767/13767__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/13767/13767__4.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,982,simple,CFSTCC,CFSTCC,,TapeTech CFS Tool Cleaning Coupling,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,5,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,983,simple,CK06CSTT,CK06CSTT,,TapeTech Specialty Knife - Clipped,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,5,matched_by_mpn,CK06CSTT,TapeTech Carbon Steel Clipped Joint Knife,Premium Taping Knives,37,TapeTech catalog page 37,,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Clipped Knife,,,TapeTech Carbon Steel Clipped Joint Knife,"TapeTech 6"" Carbon Steel Clipped Joint Knife",,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Clipped Knife,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/15053/15053_TapeTech6CarbonSteelClippedJointKnife_001.webp,1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,984,simple,CN-TT,CN-TT,,TapeTech Cleaning Nozzle,0,0,Drywall Finishing Tools > TapeTech > Cleaning & Maintenance,3,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,985,simple,CNA-TT,CNA-TT,,TapeTech Cleaning Nozzle Adapter,0,0,Drywall Finishing Tools > TapeTech > Cleaning & Maintenance,6,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,989,simple,CROLL02,CROLL02,,"TapeTech 2"" Premium Inside Corner Compound Roller with Frame",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,6,matched_by_mpn,CROLL02,TapeTech Premium Inside Corner Compound Roller with Frame,Compound Rollers,46,TapeTech catalog page 46,,Drywall Finishing Tools > TapeTech > Compound Rollers > Rollers > Premium Compound Roller,,,TapeTech Premium Inside Corner Compound Roller with Frame,"TapeTech 2"" Inside Corner Compound Roller with Cage CROLL02",,Drywall Finishing Tools > TapeTech > Compound Rollers > Rollers > Premium Compound Roller,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18455/18455_TapeTechCROLL02_001.webp,1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,990,simple,CROLLHAN2,CROLLHAN2,,"TapeTech Compound Roller Support Handle 44"" - 79"" (2m)",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,6,matched_by_mpn,CROLLHAN2,"TapeTech Compound Roller Support Handle 44"" 79""",Compound Rollers,46,TapeTech catalog page 46,,Drywall Finishing Tools > TapeTech > Compound Rollers > Support Handles > Compound Roller Support Handle,,,"TapeTech Compound Roller Support Handle 44"" 79""","TapeTech Compound Roller Support Handle 44"" - 79"" (2m) CROLLHAN2",,Drywall Finishing Tools > TapeTech > Compound Rollers > Support Handles > Compound Roller Support Handle,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18459/18459_CROLLHAN2_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18459/18459_CROLLHAN2_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18459/18459_CROLLHAN2_003.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18459/18459_CROLLHAN2_004.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/18459/18459_CROLLHAN2_005.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,994,simple,CTBXC,CTBXC,,TapeTech CFS Radio Frequency Controller,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,995,simple,CTFILL,CTFILL,,TapeTech CFS Fill Kit,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,996,simple,CTPMP,CTPMP,,TapeTech Bazooka Continuous Flow Pump,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,5,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,997,simple,CTVLV,CTVLV,,TapeTech CFS Inline Valve with Radio Frequency Controller,0,0,Drywall Finishing Tools > TapeTech > Continuous Flow System,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,998,variable,TT-ECE135,TT-ECE135,,TapeTech 135° Outside Corner Edgers,0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,12,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,999,variable,TT-ECE90,TT-ECE90,,TapeTech 90° Outside Corner Edgers,0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,18,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1000,variable,EFBH-TT,EFBH-TT,,TapeTech EasyFinish® Box Handle,0,0,Drywall Finishing Tools > TapeTech > Finishing Boxes,0,matched_by_family_name,"8134TT, 8142TT, 8154TT, 8172TT",EasyFinish Box Handle,Finishing Box Handles,32,TapeTech catalog page 32,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,,,,,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,,0,0,0,1,0,update_candidate,category can be refined to official mapping hierarchy,"reference match is family/context level, not an exact SKU/MPN row match"
TapeTech,1001,variation,EEX125135,EEX125135,TT-ECE135,"TapeTech 135° Outside Corner Edgers - TapeTech, 1-25",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1002,variation,EEX200135,EEX200135,TT-ECE135,"TapeTech 135° Outside Corner Edgers - TapeTech, 2",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1003,variation,EEX275135,EEX275135,TT-ECE135,"TapeTech 135° Outside Corner Edgers - TapeTech, 2-75",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1004,variation,EEX10090,EEX10090,TT-ECE90,"TapeTech 90° Outside Corner Edgers - TapeTech, 1",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1005,variation,EEX15090,EEX15090,TT-ECE90,"TapeTech 90° Outside Corner Edgers - TapeTech, 1-5",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1006,variation,EEX20090,EEX20090,TT-ECE90,"TapeTech 90° Outside Corner Edgers - TapeTech, 2",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1007,variation,EEX5090,EEX5090,TT-ECE90,"TapeTech 90° Outside Corner Edgers - TapeTech, 0-5",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1008,variation,EEX7590,EEX7590,TT-ECE90,"TapeTech 90° Outside Corner Edgers - TapeTech, 0-75",1,1,,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,no official reference match and content is incomplete,
TapeTech,1009,simple,EEXSET3135,EEXSET3135,,TapeTech Set of 3 - One Each of the 135° Outside Corner Edgers,0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1010,simple,EEXSET590,EEXSET590,,TapeTech 5 Piece 90° Outside Corner Edger Set,0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1016,simple,EIN10090,EIN10090,,"TapeTech EIN10090 1"" 90 Inside Corner Edger",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1017,simple,EIN15090,EIN15090,,"TapeTech EIN15090 1.5"" 90 Inside Corner Edger",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1018,simple,EIN20090,EIN20090,,"TapeTech EIN20090 2"" 90 Inside Corner Edger",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1019,simple,EIN5090,EIN5090,,"TapeTech EIN5090 0.5"" 90 Inside Corner Edger",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1020,simple,EIN7590,EIN7590,,"TapeTech EIN7590 0.75"" 90 Inside Corner Edger",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1021,simple,EINSET590,EINSET590,,TapeTech 5 Piece 90° Inside Corner Edger Set,0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1026,variable,JKSS-TT,JKSS-TT,,TapeTech Premium Stainless Steel Joint Knife,0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,0,matched_by_family_name,"JK01SSTT, JK02SSTT, JK03SSTT, JK04SSTT, JK05SSTT, JK06SSTT",Jointing Knife,Premium Taping Knives,37,TapeTech catalog page 37,,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,,,,,,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Jointing Knives > Jointing Knife,,0,0,0,1,0,update_candidate,category can be refined to official mapping hierarchy,"reference match is family/context level, not an exact SKU/MPN row match"
TapeTech,1030,simple,EZROLL-KIT,EZROLL-KIT,,TapeTech EasyRoll Flat Box Wheel Kit EZROLL-KIT,0,0,Drywall Finishing Tools > TapeTech > Finishing Boxes,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched to official product catalog; needs manual catalog check,
TapeTech,1035,simple,FHTT,FHTT,,TapeTech Fiberglass Handle,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,6,matched_by_mpn,FHTT,TapeTech Interchangeable Fiberglass Support Handle,Support Handles & Adapters,36,TapeTech catalog page 36,,,,,TapeTech Interchangeable Fiberglass Support Handle,TapeTech Interchangeable Fiberglass Support Handle FHTT,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14151/14151__1.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14151/14151__2.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14151/14151__3.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/14151/14151__4.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,1036,simple,FHTT-CC,FHTT-CC,,TapeTech Closet Crusher Fiberglass Handle,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,7,matched_by_mpn,FHTT-CC,"TapeTech Closet Crusher 18"" Handle",Support Handles & Adapters,36,TapeTech catalog page 36,,,,,"TapeTech Closet Crusher 18"" Handle","TapeTech Closet Crusher 18"" Support Handle FHTT-CC",,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16788/16788_TapeTechClosetCrusher18inHandle_001.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16788/16788_TapeTechClosetCrusher18inHandle_002.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16788/16788_TapeTechClosetCrusher18inHandle_003.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16788/16788_TapeTechClosetCrusher18inHandle_004.webp",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,1037,simple,GSR-TT,GSR-TT,,TapeTech Gooseneck Riser for 76TT-CA,0,0,Drywall Finishing Tools > TapeTech > Automatic Tapers,3,matched_by_mpn,GSR-TT,TapeTech Gooseneck Riser GSR-TT,Loading Pumps,13,TapeTech catalog page 13,,,,,TapeTech Gooseneck Riser GSR-TT,TapeTech Gooseneck Riser GSR-TT for Loading Pump 76TT-CA,,,"https://www.shopamestools.com/Item_Images_AMES/14842_media_1.jpg, https://www.shopamestools.com/Item_Images_AMES/14842_media_2.jpg, https://www.shopamestools.com/Item_Images_AMES/14842_media_3.jpg, https://s3.amazonaws.com/tswfastcomfiles/product/TTTGSRTT_M.jpg",1,0,0,0,0,update_candidate,official/reference name differs,TapeTech catalog text exists but page extraction is noisy or duplicated; keep as manual source context
TapeTech,1038,simple,HWK001-PS,HWK001-PS,,"TapeTech 13"" x 13"" Aluminum Hawk",0,0,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,3,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
