brand,name,description_full,sku,upc,price,price_numeric,description_short,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9
Columbia Taping Tools,"Columbia 12"" Tomahawk Smoothing Blade","## The Most Durable Smoothing Blade on the Job Site

The Columbia 12"" Tomahawk Smoothing Blade is the professional finisher's definitive solution to the persistent problem of plastic blade failures. By eliminating every plastic component and replacing them with robust all-metal construction, the 12"" Tomahawk delivers the durability, stability, and consistent performance that high-volume professional finishing demands. No more cracked adapters. No more wobbly connections. No more replacing blades mid-job. The Tomahawk is built to handle the rigors of daily use and keep performing at the highest level, season after season.

## Direct Handle Integration for Unmatched Control

The Tomahawk series eliminates plastic adapters entirely by connecting directly to standard Flat Box handles. This direct-connect design provides a rigid, wobble-free feel that translates directly into a smoother, more consistent finished surface. The 12-inch width provides maximum coverage efficiency per pass, and the design allows for intuitive, real-time adjustment of the angle of attack while in motion — giving you precise, dynamic control over compound thickness and surface coverage without interrupting your pass.

## Key Features

- **All-Metal Construction:** Zero plastic components — eliminates cracking, snapping, and adapter failure under heavy daily professional use.
- **Direct Flat Box Handle Integration:** Connects directly to standard handles for a rigid, wobble-free connection that outlasts any adapter-based design.
- **12-Inch Finishing Width:** Maximum coverage per pass for efficient flat finishing and butt seam smoothing on any project scale.
- **Real-Time Angle Control:** On-the-fly angle-of-attack adjustment while in motion for dynamic, precise compound thickness and feathering control.
- **Superior Stability:** All-metal rigidity delivers consistent blade pressure for a smoother, more uniform compound application.
- **Professional-Grade Reliability:** Engineered to set a new performance benchmark for professional drywall smoothing tools.

---

## Technical Specifications

| Specification | Detail |
|---|---|
| **SKU** | TSB-12 |
| **Tool Type** | Smoothing Blade |
| **Blade Width** | 12 in (305 mm) |
| **Construction** | All-metal (zero plastic components) |
| **Blade Material** | High-grade steel |
| **Application** | Smoothing and feathering joint compound after flat box application |
| **Compatibility** | Standard flat box handle systems |
| **Brand** | Columbia Taping Tools |",TSB-12,824149009959,$63.81,63.81,"The Columbia 12"" Tomahawk Smoothing Blade eliminates every plastic failure point with a rugged all-metal design that connects directly to standard Flat Box handles. Featuring real-time angle-of-attack adjustment and superior finish stability, it delivers a flawless, professional-grade result that outperforms standard blades in both durability and consistency.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3001/1699/tomahawk12__99003.1758633334.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3001/1013/hqdefault_19_3__42999.1758633334.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 14"" Automatic Assist Drywall Flat Box","## Maximum Width, Minimum Effort

The Columbia 14"" Automatic Assist Drywall Flat Box is the widest automatic-assist finishing tool available, purpose-built for the professional who demands maximum coverage efficiency without sacrificing precision or increasing physical strain. The integrated spring-loaded assist mechanism actively manages compound pressure throughout each pass, allowing you to glide across wide flat joints with consistent, smooth results and dramatically less manual effort than conventional finishing boxes require.

## Engineered for High-Volume Commercial Production

At 14 inches, this box minimizes the number of passes required to finish large-scale walls and ceilings, making it the ideal tool for high-output commercial production environments. The automatic assist mechanism eliminates the pressure inconsistencies that cause ridges and touch-up work, ensuring every pass delivers a professional-grade result. Columbia's commitment to rugged construction ensures this tool holds up to the demands of daily professional use, and the 5-year manufacturer warranty protects your investment for the long term.

## Key Features

- **Automatic Assist Technology:** Precision spring-loaded system maintains constant compound pressure, reducing manual effort and delivering a consistent pass every time.
- **14-Inch Finishing Width:** The widest automatic-assist flat box available — maximum coverage per pass for high-volume commercial and residential work.
- **Reduced Operator Fatigue:** Assist mechanism eliminates the strain of manual compound management during extended, high-output finishing sessions.
- **Consistent Finish Quality:** Constant-pressure delivery eliminates ridges and pressure drops for a professional-grade surface on every pass.
- **Professional-Grade Construction:** Built with premium materials for reliable performance under the rigors of daily professional use.
- **5-Year Manufacturer Warranty:** Full Columbia coverage for lasting peace of mind on your professional tool investment.

---

## Technical Specifications

| Specification | Detail |
|---|---|
| **SKU** | 14FFBA |
| **Tool Type** | Automatic Assist Drywall Flat Box |
| **Box Width** | 14 in (356 mm) |
| **Assist Mechanism** | Spring-loaded compound chamber assist |
| **Application** | Wide-span flat joint finishing; maximum coverage per pass |
| **Handle Compatibility** | Universal flat box handle (all major brands) |
| **Manufacturer Warranty** | 5-year against manufacturer defects |
| **Country of Origin** | Canada |
| **Brand** | Columbia Taping Tools |",14FFBA,824149008556,$438.01,438.01,"The Columbia 14"" Automatic Assist Drywall Flat Box features a precision spring-loaded compound chamber that actively reduces operator effort while delivering consistent, flawless finishes on wide flat joints. The widest automatic-assist flat box available, it is built for maximum productivity on high-volume projects and backed by a 5-year manufacturer warranty.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3135/2632/14ffba__49887.1675191915.png?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3135/2029/columbia_waranty_6_1_1_1_1__51348.1675191907.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 14"" Drywall Flat Finishing Box","## The Widest Flat Box on the Market — Built for Production Speed

The Columbia 14"" Drywall Flat Finishing Box stands alone as the industry's largest capacity flat finishing tool. Designed for the professional contractor who needs to cover maximum surface area with minimum passes, this box reduces the total number of runs required to finish a wall or ceiling, directly translating into faster job completion and higher daily output. Its 14-inch width makes it the definitive specialist tool for floating wide butt joints — the most demanding and difficult flat surface in drywall finishing.

## Precision-Engineered for Professional Results

Columbia has engineered the 14"" finishing box with precision-machined components that deliver a clean, feathered edge on every pass, minimizing the need for extensive touch-up work and sanding. The increased mud capacity significantly reduces the number of pump trips required during a run, keeping your workflow steady and productive throughout the day. Compatible with all major flat box handle brands, this tool slots seamlessly into any professional finishing setup.

## Key Features

- **14-Inch Finishing Width:** The largest flat box currently available — maximum coverage per pass for production-speed finishing on large-scale projects.
- **Butt Joint Specialist:** Engineered specifically for the precision required to float and finish challenging wide butt joints.
- **High Mud Capacity:** Extended reservoir holds more compound for longer runs and significantly fewer pump refill trips.
- **Precision Feathered Edge:** Precision-machined components deliver a clean, consistent feather on every pass, reducing touch-up and sanding.
- **Universal Handle Compatibility:** Integrates seamlessly with all major flat box handle brands for effortless setup.
- **Professional-Grade Durability:** Rugged construction engineered for the heavy demands of daily professional drywall contracting.

---

## Technical Specifications

| Specification | Detail |
|---|---|
| **SKU** | 14FFB |
| **Tool Type** | Standard Drywall Flat Finishing Box |
| **Box Width** | 14 in (356 mm) |
| **Assist Mechanism** | None (manual operation) |
| **Application** | Wide-span flat joint finishing; production-speed wall and ceiling work |
| **Handle Compatibility** | Universal flat box handle (all major brands) |
| **Manufacturer Warranty** | 5-year against manufacturer defects |
| **Country of Origin** | Canada |
| **Brand** | Columbia Taping Tools |",14FFB,0799648798904,$421.79,421.79,"The Columbia 14"" Drywall Flat Finishing Box is the industry's largest capacity flat box, purpose-built for professionals who need maximum coverage and fewer pump trips on wide butt joints and large-scale flat finishing. Precision-machined for a consistent, feathered finish, it integrates with all major handle brands and delivers production-grade performance on every pass.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/1602/3474/httpwww.alstapingtools.comimagesproductsdetailcolumbia141__32441.1675191927.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/1602/3664/hqdefault_15_31__23977.1675191930.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 14"" Mud Pan with Magnetic Grip","## Maximum Capacity Mud Management for the Professional Job Site

The Columbia 14"" Stainless Steel Mud Pan with Magnetic Grip is the professional finisher's choice when a standard-size pan simply is not enough. The 14-inch length provides a significantly larger working surface for compound loading, mixing, and handling — reducing the frequency of trips to the bucket and keeping your workflow moving efficiently on high-volume commercial and residential projects. Crafted from premium-grade stainless steel, this pan delivers exceptional resistance to rust and corrosion from daily exposure to joint compound and water.

## Integrated Magnetic Grip for Organized, Efficient Work

The built-in magnetic grip transforms the way you manage your tools at the wall. The ergonomic handle provides a secure, comfortable hold that reduces fatigue during extended taping and finishing sessions. The powerful integrated magnet securely holds your taping knives, corner tools, and blades against the pan, keeping them organized and within arm's reach throughout every coat. The seamless stainless steel interior ensures easy mixing, consistent compound quality, and fast, thorough cleanup between batches.

## Key Features

- **14-Inch Capacity:** Generous working length for efficient compound loading and handling on large-scale finishing projects.
- **Integrated Magnetic Grip:** Ergonomic handle with built-in magnet securely holds taping knives and tools for organized, accessible workflow.
- **Premium Stainless Steel:** Rust and corrosion-resistant construction for long-term durability and reliable performance with daily compound use.
- **Seamless Interior:** Smooth walls ensure consistent compound quality, easy mixing, and fast, thorough cleaning between batches.
- **Ergonomic Design:** Contoured grip reduces hand fatigue during extended finishing sessions without compromising control.
- **Professional-Grade Durability:** Built to Columbia's exacting standards for performance on demanding commercial and residential job sites.

---

## Technical Specifications

| Specification | Detail |
|---|---|
| **SKU** | C14MPX6 |
| **Tool Type** | Mud Pan |
| **Pan Length** | 14 in (356 mm) |
| **Material** | Premium-grade stainless steel |
| **Grip Feature** | Integrated magnetic grip |
| **Corrosion Resistance** | Yes (stainless steel construction) |
| **Application** | High-capacity compound loading, mixing, and tool cleaning; knife storage via magnetic strip |
| **Brand** | Columbia Taping Tools |",C14MPX6,824149011747,$26.65,26.65,"The Columbia 14"" Stainless Steel Mud Pan with Magnetic Grip combines a premium rust-resistant stainless steel pan with an integrated magnetic grip that keeps taping knives and tools secure and within reach. The generous 14-inch length handles high-volume compound loading efficiently, making it the professional's choice for large-scale finishing projects.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4599/6049/14INCHMUDPAN__04516.1753973195.png?c=1&imbypass=on,,,,,,,,
Columbia Taping Tools,"Columbia 14"" Tomahawk Smoothing Blade","## Elevate Your Finish with the Columbia 14"" Tomahawk

The Columbia 14"" Tomahawk Smoothing Blade redefines expectations for drywall finishing tools. Designed for professionals who demand reliability on the job site, this blade eliminates the common failure points found in standard equipment. By removing fragile plastic components, Columbia has engineered a tool that withstands the rigors of daily use, ensuring consistent, high-quality results across every project.

## Engineered for Uncompromising Durability

Experience the difference of a tool built without compromise. The Tomahawk series integrates seamlessly with standard Flat Box handles, bypassing the need for unreliable plastic adapters that often buckle under the weight of larger blades. This direct connection not only enhances the structural integrity of the tool but also provides superior stability and precise control over the angle of attack, allowing for smoother, more efficient finishing even while in motion.

## Key Features

- **All-Metal Construction:** Eliminates plastic parts that are prone to snapping or cracking under heavy pressure.
- **Flat Box Handle Integration:** Connects directly to your existing Flat Box handles, removing the need for weak plastic adapters.
- **Enhanced Stability:** Engineered for a rigid, reliable feel that maintains consistent pressure across the entire blade length.
- **Dynamic Angle Adjustment:** Allows for real-time, fluid adjustments to the angle of attack, ensuring a perfect finish on every pass.
- **Professional-Grade Durability:** Built to withstand the demanding environment of high-volume drywall finishing.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | Columbia 14"" Tomahawk Smoothing Blade |
| SKU | TSB-14 |
| UPC | 824149009966 |
| Blade Size | 14"" |",TSB-14,824149009966,$75.71,75.71,"The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/2871/4130/hqdefault_19_4__79242.1675191936.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/2871/4405/tomahawk14__14252.1675191940.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 16"" Mud Pan with Magnetic Grip - C16MPX6","## Professional-Grade Efficiency for Drywall Finishing

Elevate your drywall workflow with the Columbia 16"" Stainless Steel Mud Pan. Engineered for the demanding professional, this tool combines rugged durability with innovative design to keep your compound accessible and your workspace organized.

## Built for Performance

Crafted from high-grade stainless steel, this mud pan is built to withstand the rigors of daily job site use. It resists rust and corrosion, ensuring a smooth surface for mixing and applying joint compound throughout the life of the tool. The integrated magnetic grip provides a secure, ergonomic hold, allowing you to maintain control while reducing hand fatigue during long finishing sessions.

## Key Features

- **Premium Stainless Steel:** Constructed from heavy-duty stainless steel to prevent rusting and ensure easy cleanup after every use.
- **Magnetic Grip Technology:** Features a built-in magnetic handle that offers a superior grip and convenient tool storage options on metal surfaces.
- **Optimized 16-Inch Capacity:** The generous 16-inch length provides ample room for holding large quantities of mud, minimizing trips to the bucket and maximizing your efficiency.
- **Ergonomic Design:** Designed with the professional finisher in mind, the pan shape allows for comfortable handling and precise application.
- **Professional Durability:** Engineered by Columbia Taping Tools to meet the high standards of drywall contractors who require reliable, long-lasting equipment.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | Columbia 16"" Mud Pan with Magnetic Grip |
| SKU | C16MPX6 |
| UPC | 824149011754 |
| Material | Stainless Steel |
| Length | 16 inches |",C16MPX6,824149011754,$27.48,27.48,"Columbia 16"" STAINLESS MUD PAN W/ MAGNETIC HAND GRIP",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4600/6050/16INCHMUDPAN__67897.1753973435.png?c=1&imbypass=on,,,,,,,,
Columbia Taping Tools,"Columbia 18"" Tomahawk Smoothing Blade","## Master Your Finish with the Columbia 18"" Tomahawk Smoothing Blade

Elevate your drywall finishing standards with the Columbia 18"" Tomahawk Smoothing Blade, a tool engineered specifically for high-production environments where durability and precision are non-negotiable. By eliminating plastic components entirely, Columbia has engineered a smoothing blade that resists the common fractures and failures associated with standard tools, ensuring your equipment remains operational through the toughest job site conditions.

## Unrivaled Stability and Control

The Tomahawk system redefines professional performance by integrating directly with Flat Box handles. This design choice removes the need for unreliable plastic adaptors, which often fail under the weight of larger blades. By creating a direct, robust connection, the Tomahawk provides exceptional stability and allows for precise, real-time adjustments to your angle of attack while in motion. This level of control ensures a consistent, professional-grade finish with every pass.

## Key Features

- **All-Metal Construction:** Completely removes plastic parts, preventing snapping and structural failure under heavy pressure.
- **Flat Box Handle Integration:** Eliminates fragile plastic adaptors for a more secure, durable connection.
- **Dynamic Angle Control:** Enables seamless, on-the-fly adjustments to the angle of attack for superior finishing results.
- **Enhanced Stability:** Specifically balanced to support the leverage and weight requirements of an 18-inch blade.
- **Professional-Grade Durability:** Built to withstand the daily rigors of high-volume drywall finishing projects.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 18"" Tomahawk Smoothing Blade |
| SKU | TSB-18 |
| UPC | 824149009973 |
| Blade Width | 18"" |",TSB-18,824149009973,$86.52,86.52,"The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/2853/4176/tsb18__63004.1675191937.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/2853/3891/hqdefault_19_5__67380.1675191933.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 2"" Angle Head w/ Wheels","## Precision Finishing for Professional Results

Elevate your drywall finishing workflow with the Columbia 2"" Angle Head. Engineered for the demanding professional, this tool is specifically designed to deliver a flawless glazing coat on inside 90-degree corners. Whether you are aiming for a smooth, paint-ready surface or need to streamline your taping process, this angle head provides the consistency and control required for high-end results.

## Versatile Design for Every Job

The standout feature of this Columbia tool is its modular wheel system. Recognizing that every taper has a unique preference and every corner presents different challenges, this unit allows you to operate with or without the wheels. This flexibility ensures you can adapt your technique to the specific requirements of the job site, maintaining speed without sacrificing the quality of the finish.

## Key Features

- **Precision 90-Degree Finishing:** Specifically calibrated to produce a sharp, clean finish on inside corners, reducing the need for extensive sanding.
- **Glazing Coat Optimization:** Designed to apply the perfect amount of compound for a smooth, professional-grade glazing coat.
- **Modular Wheel System:** Offers the versatility to run the head with or without wheels, allowing for customized tracking and control.
- **Professional-Grade Construction:** Built by Columbia Taping Tools to withstand the rigors of daily job site use.
- **Enhanced Efficiency:** Streamlines the finishing process, saving time on the final stages of drywall installation.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 2"" Angle Head w/ Wheels |
| SKU | 2AH |
| UPC | 824149000062 |
| Application | Inside 90-degree corners |
| Size | 2 inches |
| Feature | Optional wheels |",2AH,824149000062,$410.97,410.97,"The Columbia 2"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90-degree corners. These NEW Columbia 2"" Angle Heads have optional wheels. You can run the angle head with or without the wheels.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/775/3966/columbia_2_ang1__90995.1675191934.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/775/3867/columbia-3-5-convertible-wheels-angle-head__81376.1675191933.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/775/3983/hqdefault_15_15__96372.1675191934.jpg?c=1&imbypass=on,,,,,,
Columbia Taping Tools,"Columbia 2"" PUTTY KNIFE","## Precision Performance for Drywall Professionals\n\nElevate your finishing standards with the Columbia 2-inch Putty Knife, a precision-engineered tool designed for the exacting demands of professional drywall contractors. Whether you are setting fasteners, patching minor surface imperfections, or executing intricate corner work, this tool delivers the reliability and control required for a flawless finish.\n\n## Built for the Job Site\n\nColumbia Taping Tools are renowned for their rugged durability, and this 2-inch putty knife is no exception. Constructed to endure the daily rigors of a high-volume job site, it features a high-quality blade that maintains its edge and flex, ensuring consistent application every time. The ergonomic handle is optimized for comfort, allowing for extended use without compromising on precision or control.\n\n## Key Features\n\n- **Professional-Grade Blade:** Crafted from premium materials to provide the perfect balance of flexibility and stiffness for smooth compound application.\n- **Ergonomic Grip:** Designed to reduce hand fatigue during long shifts, ensuring maximum control and comfort.\n- **Versatile Utility:** The 2-inch width is ideal for filling screw holes, scraping, and detailed taping tasks where precision is paramount.\n- **Rugged Durability:** Engineered to withstand heavy-duty use in demanding construction environments.\n- **Consistent Results:** Provides the reliable performance needed to achieve professional-level finishes on every project.\n\n## Technical Specifications\n\n| Specification | Detail |\n| :--- | :--- |\n| Brand | Columbia Taping Tools |\n| Product Name | 2\"" Putty Knife |\n| SKU | NPK2 |\n| UPC | 824149011914 |\n| Blade Width | 2 inches |",NPK2,824149011914,$11.25,11.25,"Columbia 2"" PUTTY KNIFE",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4602/6052/80001DBE-1749583978-114629__44195.1753987111.png?c=1&imbypass=on,,,,,,,,
Columbia Taping Tools,"Columbia 2.5"" Angle Head w/ Wheels","## Achieve Professional Precision on Every Corner

Achieve a flawless finish on your inside 90-degree corners with the Columbia 2.5"" Angle Head. Engineered for professionals who demand consistency, this tool is the ideal solution for applying your glazing coat with precision and speed.

## Versatility Meets Performance

Designed with the modern drywall finisher in mind, this angle head offers unparalleled flexibility. The standout feature is the integrated wheel system, which allows you to customize your workflow. Whether you prefer the smooth glide of wheels or the traditional feel of a standard angle head, this tool adapts to your specific technique, ensuring a clean, feathered edge every time.

## Key Features

- **Precision Engineering:** Specifically optimized for 90-degree inside corners to ensure a perfect finish.
- **Versatile Wheel System:** Removable wheels allow for customized operation based on your preferred finishing style.
- **Professional Finish:** Delivers a consistent, high-quality glazing coat for a superior final appearance.
- **Durable Construction:** Built to withstand the rigors of daily job site use and heavy-duty applications.
- **Seamless Integration:** Designed to work efficiently with standard Columbia Taping Tools handles.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 2.5"" Angle Head w/ Wheels |
| SKU | 2.5AH |
| UPC | 824149000055 |
| Application | Inside 90-degree corners |
| Feature | Optional/Removable Wheels |",2.5AH,824149000055,$421.79,421.79,"The Columbia 2.5"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90-degree corners. These NEW Columbia 2.5"" Angle Heads have optional wheels. You can run the angle head with or without the wheels.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/801/1877/columbia_25__43895.1675191904.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/801/2495/columbia3angle_1__87519.1675191913.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube","## Professional-Grade Efficiency for Corner Finishing

Streamline your drywall finishing process with the Columbia 24"" Compound Mud Tube. Engineered for the demanding professional, this tool functions as a high-capacity delivery system, allowing you to load compound quickly and cleanly. By eliminating the mess and inefficiency of manual application, this mud tube ensures consistent results on every corner, significantly reducing your labor time.

## Built for Durability and Universal Compatibility

Unlike standard plastic alternatives that are prone to cracking under job-site pressure, the Columbia Mud Tube features a robust, anodized aluminum body. This construction provides superior longevity and impact resistance, making it a reliable staple in your toolkit. Designed with versatility in mind, it integrates seamlessly with your existing arsenal of finishing tools, supporting a wide range of industry-standard attachments.

## Key Features

- **Durable Construction:** Crafted from high-grade anodized aluminum for maximum strength and long-term reliability in harsh job-site environments.
- **High-Capacity Design:** The 24-inch length allows for substantial compound volume, reducing the frequency of refills and keeping you productive for longer.
- **Universal Compatibility:** Fully compatible with all major brands of angle heads, corner finishers, corner bead mud heads, and direct corner flushers.
- **Efficient Loading:** The intuitive plunger mechanism acts like a high-volume syringe, drawing compound directly from the bucket with minimal effort and zero waste.
- **Professional Performance:** Designed to meet the rigorous demands of daily construction use, ensuring consistent flow and precise application every time.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 24"" Drywall Corner Finishing Compound Mud Tube |
| SKU | CMT24 |
| UPC | 824149008013 |
| Material | Anodized Aluminum |
| Length | 24 inches |",CMT24,824149008013,$197.91,197.91,"Introducing the Columbia 24"" Compound Mud Tube . The compound tube acts like a giant syringe for drywall compound. Simply place the head of the compound tube into the bucket of compound and pull the plunger handle out. This method will suck the mud out of the bucket and fill the tube. All major brands of attachments will work with this tube. The anodized aluminum main tube is very strong and will not break like some of the other brands that make them out of plastic. This tube will work with:",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/259/3918/col_ct__88178.1675191933.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/259/4632/ct_head__08649.1675191943.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/259/3625/columbia_ct_handle__56653.1675191929.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/259/4208/hqdefault_16_6__25075.1675191937.jpg?c=1&imbypass=on,,,,,
Columbia Taping Tools,"Columbia 24"" Tomahawk Smoothing Blade","## Elevate Your Finish with the Columbia 24"" Tomahawk Smoothing Blade

The Columbia 24"" Tomahawk Smoothing Blade redefines industry standards for drywall finishing tools. Designed for professionals who demand reliability on the job site, this blade eliminates the common failure points found in lesser tools, ensuring consistent, high-quality results on every pass.

## Engineered for Uncompromising Durability

By removing all plastic components, Columbia has engineered a tool that withstands the rigors of daily professional use. The innovative design utilizes a Flat Box handle connection, which not only removes the need for fragile plastic adaptors but also provides superior stability. This configuration allows for precise, real-time adjustments to the angle of attack, giving you total control over your finish even when working with larger blade widths.

## Key Features

- **All-Metal Construction:** Built to endure high-pressure applications without the risk of snapping or cracking.
- **Flat Box Handle Compatibility:** Seamlessly integrates with standard flat box handles for a secure, reliable connection.
- **Enhanced Stability:** The robust design minimizes wobble and deflection, ensuring a smooth, consistent finish.
- **Dynamic Angle Adjustment:** Easily modify the angle of attack while in motion for optimal mud application and smoothing.
- **Professional-Grade Durability:** Engineered specifically for the demands of high-volume drywall finishing projects.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | 24"" Tomahawk Smoothing Blade |
| SKU | TSB-24 |
| UPC | 824149009980 |
| Blade Length | 24 inches |",TSB-24,824149009980,$103.82,103.82,"The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/2780/2157/tomahawk24__41672.1675191909.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/2780/2728/hqdefault_19_6__47187.1675191917.jpg?c=1&imbypass=on,,,,,,,
Columbia Taping Tools,"Columbia 3"" Angle Head w/ Wheels","## Precision Finishing for Professional Results

Elevate your drywall finishing workflow with the Columbia 3"" Angle Head with Wheels. Engineered for professionals who demand perfection, this tool combines robust construction with fluid movement to ensure every corner is flawless. Whether you are tackling new construction or renovation projects, this angle head delivers a consistent, paint-ready finish that minimizes sanding and maximizes efficiency.

## Superior Performance in Every Corner

The Columbia 3"" Angle Head is designed to perform under pressure. By integrating seamlessly with your existing taping tools—including Corner Rollers and Corner Boxes—it streamlines the finishing process. The addition of wheels provides an exceptionally smooth glide, allowing the tool to track perfectly along the corner bead. This precision engineering ensures that you spend less time on touch-ups and more time moving to the next job.

## Key Features

- **Precision Engineering:** Built with high-quality materials to withstand the rigors of daily job site use while maintaining structural integrity.
- **Effortless Glide:** Equipped with specialized wheels that allow the head to move across surfaces with minimal resistance, simulating a frictionless experience.
- **Versatile Compatibility:** Designed to work efficiently behind a Corner Roller or in conjunction with a Corner Box for versatile application methods.
- **Paint-Ready Finish:** Delivers a smooth, professional-grade corner finish that requires minimal preparation before painting.
- **Professional Reliability:** A trusted tool for drywall contractors who prioritize speed, accuracy, and a superior final appearance.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Columbia Taping Tools |
| Product Name | Columbia 3"" Angle Head w/ Wheels |
| SKU | 3AH |
| UPC | 824149000093 |
| Size | 3"" |",3AH,824149000093,$443.42,443.42,"The Columbia 3"" Angle heads are a tool we are especially proud of with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box, these tools deliver great corners. They run like they are on ice and leave a finish that is ready to paint.",https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/730/2003/columbia_352__36809.1675191906.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/730/2894/columbia_333333__76027.1675191919.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/730/2446/columbia3angle3_1__99651.1675191913.jpg?c=1&imbypass=on,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/730/3459/hqdefault_15_17__74890.1675191927.jpg?c=1&imbypass=on,,,,,
