"Type","SKU","Parent SKU","Slug","Name","Published","Visibility in catalog","Short description","Description","Regular price","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Categories","Tags","Brands","Images","Parent","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 used for variations","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 used for variations","meta:search_keywords","meta:seo_title","meta:seo_description","meta:seo_canonical","meta:seo_robots","meta:seo_focus_keyword","meta:seo_secondary_keywords","meta:schema_brand","meta:schema_mpn","meta:schema_condition","Meta: _dtb_brand_key","Meta: _dtb_brand_label","Meta: _dtb_product_kind","Meta: _dtb_commerce_mode","Meta: _dtb_category_key","Meta: _dtb_display_category_key","Meta: _dtb_is_parts","Meta: _dtb_parent_product_sku","Meta: _dtb_variation_axis","Meta: _dtb_variation_value","Meta: _dtb_variation_label","Meta: _dtb_default_variation_sku","Meta: _dtb_variation_sort","Meta: _dtb_inherit_parent_image","Meta: _dtb_schematic_brand","Meta: _dtb_schematic_group","Meta: _dtb_schematic_position","Meta: _dtb_replacement_part_for","Meta: _dtb_compatible_tool_skus","Meta: _dtb_validation_status","Meta: _dtb_validation_errors"
"simple","PTFA","","platinum-4-flat-applicator","Platinum 4"" Flat Applicator","1","visible","Platinum 4"" Flat Applicator (PT-FA) provides precise joint compound application for seams and butt joints. Features a durable, lightweight anodized aluminum body compatible with major industry compound tubes and angle boxes.","<p><strong>Platinum 4"" Flat Applicator (PT-FA)</strong> delivers precise, consistent joint compound distribution for professional drywall finishing. Engineered for efficiency, this 4-inch tool is specifically optimized for coating seams, butt joints, and fastener rows, while its compact profile allows for effortless navigation in tight spaces and detailed pre-fill applications.</p><p>Constructed from lightweight, anodized aluminum, this applicator balances long-term durability with reduced operator fatigue during high-volume work. It is designed for seamless integration into existing professional tool kits, offering broad compatibility with compound tubes, angle boxes, and MudRunners from major industry manufacturers.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Application:</strong> Ensures a uniform, even layer of joint compound to minimize sanding and rework.</li><li><strong>Universal Compatibility:</strong> Fits standard compound tubes, angle boxes, and MudRunners from leading brands including TapeTech, Columbia, and Level5.</li><li><strong>Compact Design:</strong> Optimized 4-inch width for detailed work and tight-access areas.</li><li><strong>Durable Build:</strong> Lightweight, anodized aluminum construction withstands the rigors of daily job site use.</li><li><strong>Warranty Protection:</strong> Includes a 5-year manufacturer's warranty for long-term reliability.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-FA</td></tr><tr><td>Tool Type</td><td>Flat Applicator</td></tr><tr><td>Size</td><td>4 Inches</td></tr><tr><td>Material</td><td>Anodized Aluminum</td></tr><tr><td>Warranty</td><td>5-Year Limited Warranty</td></tr></tbody></table>","59.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","4 inch flat applicator, mud head, PT-FA, seam tool, billet applicator","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fa-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fa-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fa-03.webp","","143","","","","0","","","","","","","Platinum 4"" Flat Applicator (PT","","2026-05-07","v2-production-normalized","Platinum 4"" Flat Applicator","Platinum 4"" Flat Applicator (PT-FA) provides precise joint compound application for seams and butt joints. Features a durable, lightweight anodized aluminu","","index,follow","Platinum 4"" Flat Applicator (PT-FA)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","corner","corner_tools","0","","","","","","","0","","","","","","ready",""
"variable","PTFB","","platinum-flat-finishing-box","Platinum Flat Finishing Box","1","visible","Professional Platinum Flat Finishing Box (8""–14"") with pivoting axle and adjustable crown control for efficient, paint-ready joint finishing.","<p>The Platinum Flat Finishing Box series automates joint compound application and edge feathering on flat and butt joints in a single pass. Available in 8"", 10"", 12"", and 14"" widths, these boxes are designed for high-output professional environments. Featuring a pivoting axle that maintains constant contact with the wall and an integrated crown adjustment dial, they provide a uniform, paint-ready surface with minimal effort. Built with high-grade materials to withstand the rigors of daily job site use, Platinum Flat Boxes significantly reduce manual labor and sanding time.</p><ul><li><strong>One-Pass Finishing:</strong> Simultaneously dispenses compound and feathers edges for professional results.</li><li><strong>Adjustable Crown Control:</strong> Dedicated dial allows for precise thickness regulation based on coat requirements.</li><li><strong>Pivoting Axle:</strong> Ensures smooth operation and consistent mud flow on uneven drywall surfaces.</li><li><strong>Rugged Construction:</strong> Built for long-term durability in high-volume professional settings.</li><li><strong>Available Sizes:</strong> 8"" (PT-8FB), 10"" (PT-10FB), 12"" (PT-FB12), and 14"" (PT-14FB).</li></ul>","","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Finishing Boxes","PT-8FB, PT-10FB, PT-FB12, PT-14FB, flat box","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-05.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-14fb-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-14fb-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-14fb-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-8fb-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-8fb-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-8fb-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-04.webp","","56","Size","8"" | 10"" | 12"" | 14""","1","1","1","","","","","","Platinum Flat Finishing Box","","2026-05-07","v2-production-normalized","Platinum Flat Finishing Box","Professional Platinum Flat Finishing Box (8""–14"") with pivoting axle and adjustable crown control for efficient, paint-ready joint finishing.","","index,follow","Platinum Flat Finishing Box","","platinum-drywall-tools","Platinum Drywall Tools","tool","parent_container","finishing","finishing_boxes","0","","size","","","PT8FB","","0","","","","","","ready",""
"variation","PT10FB","PTFB","platinum-flat-finishing-box-10","Platinum Flat Finishing Box - 10""","1","visible","","","195.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Finishing Boxes","10 inch flat box, PT-10FB, finishing box, pivoting axle box, drywall finishing","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-10fb-05.webp","PTFB","57","Size","10""","1","1","1","","","","","","Platinum 10"" Flat Finishing Box (PT","","2026-05-07","v2-production-normalized","Platinum Flat Finishing Box - 10""","","","index,follow","Platinum 10"" Flat Finishing Box (PT-10FB)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","finishing","finishing_boxes","0","PTFB","size","10","10 in","","100","0","","","","","","ready",""
"variation","PTFB12","PTFB","platinum-flat-finishing-box-12","Platinum Flat Finishing Box - 12""","1","visible","","","205.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Finishing Boxes","12 inch flat box, PT-FB12, finishing box, pivoting axle box, drywall finishing","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fb12-04.webp","PTFB","58","Size","12""","1","1","1","","","","","","Platinum 12"" Flat Finishing Box (PT","","2026-05-07","v2-production-normalized","Platinum Flat Finishing Box - 12""","","","index,follow","Platinum 12"" Flat Finishing Box (PT-FB12)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","finishing","finishing_boxes","0","PTFB","size","12","12 in","","120","0","","","","","","ready",""
"variation","PT14FB","PTFB","platinum-flat-finishing-box-14","Platinum Flat Finishing Box - 14""","1","visible","","","215.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Finishing Boxes","14 inch flat box, PT-14FB, finishing box, pivoting axle box, drywall finishing","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-14fb-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-14fb-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-14fb-03.webp","PTFB","59","Size","14""","1","1","1","","","","","","Platinum 14"" Flat Finishing Box (PT","","2026-05-07","v2-production-normalized","Platinum Flat Finishing Box - 14""","","","index,follow","Platinum 14"" Flat Finishing Box (PT-14FB)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","finishing","finishing_boxes","0","PTFB","size","14","14 in","","140","0","","","","","","ready",""
"variation","PT8FB","PTFB","platinum-flat-finishing-box-8","Platinum Flat Finishing Box - 8""","1","visible","","","185.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Finishing Boxes","8 inch flat box, PT-8FB, finishing box, pivoting axle box, drywall finishing","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-8fb-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-8fb-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-8fb-03.webp","PTFB","60","Size","8""","1","1","1","","","","","","Platinum 8"" Flat Finishing Box (PT","","2026-05-07","v2-production-normalized","Platinum Flat Finishing Box - 8""","","","index,follow","Platinum 8"" Flat Finishing Box (PT-8FB)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","finishing","finishing_boxes","0","PTFB","size","8","8 in","","80","0","","","","","","ready",""
"simple","PTFIN","","platinum-drywall-starter-finishing-set","Platinum Drywall Starter Finishing Set","1","visible","Platinum Drywall Starter Finishing Set (PT-FIN) is a professional-grade kit designed to increase efficiency and precision in drywall taping and finishing tasks.","<p><strong>Platinum Drywall Starter Finishing Set (PT-FIN)</strong> provides a comprehensive suite of professional-grade tools engineered for contractors who require consistent, high-output performance on the job site. This kit bridges the gap between manual hand-tooling and automated systems, offering a reliable foundation for taping and finishing drywall joints with precision. By streamlining the application and feathering process, these tools help maintain tight project timelines while ensuring a smooth, paint-ready finish on both walls and ceilings.</p><p>Each component in this set is manufactured to withstand the demands of daily professional use. The tools feature ergonomic designs that prioritize operator comfort, effectively reducing fatigue during extended shifts. Constructed from durable, corrosion-resistant materials, this equipment is built to provide long-term reliability for both seasoned professionals needing a dependable secondary set and contractors looking to upgrade their current finishing capabilities.</p><p><strong>Features:</strong></p><ul><li><strong>Operational Efficiency:</strong> Significantly accelerates the finishing process compared to traditional hand-tooling methods, allowing for faster project completion.</li><li><strong>Ergonomic Construction:</strong> Balanced weight distribution minimizes strain on the wrists and arms, supporting sustained productivity throughout the workday.</li><li><strong>Durable Build Quality:</strong> Fabricated from premium, corrosion-resistant materials to ensure longevity and consistent performance in rugged job site environments.</li><li><strong>Precision Application:</strong> Engineered for uniform mud distribution and smooth feathering, resulting in professional-grade joints with minimal sanding required.</li><li><strong>Versatile Utility:</strong> Perfectly suited for a wide range of applications, from residential renovations to large-scale commercial installations.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-FIN</td></tr><tr><td>Product Type</td><td>Drywall Finishing Set</td></tr><tr><td>Price</td><td>$1,399.00</td></tr><tr><td>Set Includes</td><td>10"" Flat Box, 12"" Flat Box, Compound Pump, Box Filler Valve, 42"" Flat Box Handle, 3"" Corner Finisher, 50"" Corner Finisher Handle, 8"" Corner Applicator Box, 50"" Corner Applicator Handle, Inside Corner Roller, 50"" Corner Roller Handle</td></tr></tbody></table>","1399.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Tool Sets & Kits","starter set, finishing kit, PT-FIN, automatic tool set, drywall tool kit","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-fin-01.webp","","385","","","","0","","","","","","","Platinum Drywall Starter Finishing Set (PT","","2026-05-07","v2-production-normalized","Platinum Drywall Starter Finishing Set","Platinum Drywall Starter Finishing Set (PT-FIN) is a professional-grade kit designed to increase efficiency and precision in drywall taping and finishing t","","index,follow","Platinum Drywall Starter Finishing Set (PT-FIN)","","platinum-drywall-tools","Platinum Drywall Tools","kit","purchasable","toolsets","tool_sets_and_kits","0","","","","","","","0","","","","","","ready",""
"simple","PTICA","","platinum-inside-90-degree-applicator","Platinum Inside 90 Degree Applicator","1","visible","The Platinum Inside 90 Degree Applicator (PT-ICA) is a professional-grade tool designed for fast, uniform joint compound application in interior corners, compatible with standard industry finishing equipment.","<p><strong>Platinum Inside 90 Degree Applicator (PT-ICA)</strong> is a specialized tool engineered to deliver a consistent, uniform bead of joint compound to interior 90-degree corners. By automating the application process, this applicator significantly reduces the time spent on manual taping and smoothing, allowing for a more efficient workflow on both residential and commercial drywall projects.</p><p>Designed for durability and ease of use, this applicator head integrates seamlessly with standard compound tubes and corner applicator boxes. Its robust construction ensures it maintains performance under demanding job site conditions, providing the precision required for high-quality finishes while minimizing material waste.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Application:</strong> Engineered specifically for 90-degree interior angles to ensure accurate compound distribution and optimal tape adhesion.</li><li><strong>Workflow Efficiency:</strong> Dramatically accelerates the taping process, reducing manual labor and speeding up project timelines.</li><li><strong>Universal Compatibility:</strong> Designed to fit most standard drywall finishing equipment, including compound tubes and corner boxes from major manufacturers.</li><li><strong>Durable Construction:</strong> Built with high-grade materials to withstand daily professional use and maintain structural integrity over time.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-ICA</td></tr><tr><td>Product Type</td><td>Inside 90 Degree Applicator</td></tr><tr><td>Category</td><td>Drywall Finishing Tools</td></tr><tr><td>Price</td><td>$59.00</td></tr></tbody></table>","59.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","inside 90 head, corner applicator, mud head, PT-ICA, corner tool","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ica-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ica-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-ica-03.webp","","151","","","","0","","","","","","","Platinum Inside 90 Degree Applicator (PT","","2026-05-07","v2-production-normalized","Platinum Inside 90 Degree Applicator","The Platinum Inside 90 Degree Applicator (PT-ICA) is a professional-grade tool designed for fast, uniform joint compound application in interior corners, c","","index,follow","Platinum Inside 90 Degree Applicator (PT-ICA)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","corner","corner_tools","0","","","","","","","0","","","","","","ready",""
"simple","PTMNBH","","platinum-mini-box-handle","Platinum Mini Box Handle","1","visible","The Platinum Mini Box Handle (13"") is engineered for precision in tight spaces like closets and narrow hallways. Built from durable, corrosion-resistant anodized aluminum, it offers a lightweight, stable solution for professional drywall finishing.","<p><strong>Platinum Mini Box Handle (PT-MNBH)</strong> provides the necessary control for professional drywall finishing in confined areas. Engineered for contractors navigating tight closets, narrow hallways, and restricted work zones, this 13-inch handle eliminates the cumbersome length of standard tools, allowing for precise, agile maneuverability without compromising the quality of the finish.</p><p>Constructed from premium-grade anodized aluminum, this handle balances a lightweight profile with the rugged durability required for daily job site demands. The anodized finish provides a robust, corrosion-resistant barrier that withstands moisture and prevents compound buildup, ensuring a long service life and simplified cleanup. Its secure, stable connection to your flat box ensures consistent pressure and smooth operation, making it a reliable addition to any professional finishing kit.</p><p><strong>Features:</strong></p><ul><li><strong>Compact 13-Inch Reach:</strong> Optimized for tight spaces where standard-length handles are impractical, providing superior control in cramped environments.</li><li><strong>Anodized Aluminum Construction:</strong> Engineered for a high strength-to-weight ratio, reducing operator fatigue while offering exceptional resistance to wear and corrosion.</li><li><strong>Professional-Grade Stability:</strong> Designed to maintain a secure, rigid connection to flat boxes, facilitating precise mud application and consistent results.</li><li><strong>System Versatility:</strong> Seamlessly integrates with existing flat box setups, allowing for quick transitions between standard and mini handles based on project-specific requirements.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-MNBH</td></tr><tr><td>Product Type</td><td>Mini Flat Box Handle</td></tr><tr><td>Material</td><td>Anodized Aluminum</td></tr><tr><td>Length</td><td>13 inches</td></tr><tr><td>Category</td><td>Drywall Finishing Tools</td></tr></tbody></table>","62.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions","13 inch handle, flat box handle, mini handle, PT-MNBH, closet handle","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-mnbh-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-mnbh-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-mnbh-03.webp","","230","","","","0","","","","","","","Platinum Mini Box Handle (PT","","2026-05-07","v2-production-normalized","Platinum Mini Box Handle","The Platinum Mini Box Handle (13"") is engineered for precision in tight spaces like closets and narrow hallways. Built from durable, corrosion-resistant an","","index,follow","Platinum Mini Box Handle (PT-MNBH)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","handles","handles_and_extensions","0","","","","","","","0","","","","","","ready",""
"variable","PTNS","","platinum-nail-spotter","Platinum Nail Spotter","1","visible","Professional Platinum Nail Spotter (2"" or 3"") for rapid, uniform fastener finishing. Features anodized aluminum build and leak-resistant urethane seal.","<p>The Platinum Nail Spotter is a professional-grade tool designed to automate the coating of fastener heads in one efficient pass. Available in 2"" and 3"" widths, these spotters eliminate tedious manual labor by providing uniform coverage and a clean, flush finish. Constructed from high-grade anodized aluminum, the tool features a precision-hardened steel blade and a high-performance urethane door seal to prevent leaks. An integrated smooth-glide wheel system ensures steady tracking across walls and ceilings, significantly reducing sanding requirements and material waste.</p><ul><li><strong>High Efficiency:</strong> Rapidly coats entire rows of fastener heads in a single, consistent pass.</li><li><strong>Durable Build:</strong> Anodized aluminum frame and hardened steel blade for extreme site longevity.</li><li><strong>Leak-Resistant:</strong> Urethane door seal maintains internal pressure and prevents compound bypass.</li><li><strong>Fluid Tracking:</strong> Precision wheel system ensures smooth, controlled movement on all surfaces.</li><li><strong>Available Sizes:</strong> 2"" (PT-2NS) and 3"" (PT-3NS).</li></ul>","","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Nail Spotters","PT-2NS, PT-3NS, nail spotter, screw spotter, anodized aluminum","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-04.webp","","292","Size","2"" | 3""","1","1","1","","","","","","Platinum Nail Spotter","","2026-05-07","v2-production-normalized","Platinum Nail Spotter","Professional Platinum Nail Spotter (2"" or 3"") for rapid, uniform fastener finishing. Features anodized aluminum build and leak-resistant urethane seal.","","index,follow","Platinum Nail Spotter","","platinum-drywall-tools","Platinum Drywall Tools","tool","parent_container","finishing","nail_spotters","0","","size","","","PT2NS","","0","","","","","","ready",""
"variation","PT2NS","PTNS","platinum-nail-spotter-2","Platinum Nail Spotter - 2""","1","visible","","","160.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Nail Spotters","2 inch nail spotter, PT-2NS, screw spotter, anodized aluminum, fastener finisher","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-04.webp","PTNS","293","Size","2""","1","1","1","","","","","","Platinum 2"" Nail Spotter (PT","","2026-05-07","v2-production-normalized","Platinum Nail Spotter - 2""","","","index,follow","Platinum 2"" Nail Spotter (PT-2NS)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","finishing","nail_spotters","0","PTNS","size","2","2 in","","20","0","","","","","","ready",""
"variation","PT3NS","PTNS","platinum-nail-spotter-3","Platinum Nail Spotter - 3""","1","visible","","","160.00","taxable","1","","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Nail Spotters","3 inch nail spotter, PT-3NS, screw spotter, anodized aluminum, fastener finisher","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-2ns-04.webp","PTNS","294","Size","3""","1","1","1","","","","","","Platinum 3"" Nail Spotter (PT","","2026-05-07","v2-production-normalized","Platinum Nail Spotter - 3""","","","index,follow","Platinum 3"" Nail Spotter (PT-3NS)","","platinum-drywall-tools","Platinum Drywall Tools","variation","purchasable","finishing","nail_spotters","0","PTNS","size","3","3 in","","30","0","","","","","","ready",""
"simple","PTOCA","","platinum-outside-90-degree-applicator","Platinum Outside 90 Degree Applicator","1","visible","The Platinum Outside 90 Degree Applicator (PT-OCA) provides a fast, uniform method for applying joint compound to external 90-degree corners. Compatible with most standard compound tubes and corner boxes, it significantly speeds up mud-set corner bead installation.","<p><strong>Platinum Outside 90 Degree Applicator (PT-OCA)</strong> streamlines the process of finishing external drywall corners by delivering a precise, uniform ribbon of joint compound to both sides simultaneously. This specialized tool eliminates the manual labor of pre-filling corner beads, ensuring consistent coverage and significantly reducing the time required for secondary passes or cleanup. Engineered for high-volume job sites, it integrates seamlessly into existing finishing workflows to improve overall efficiency.</p><p>Built for versatility, this applicator features universal compatibility with most major brands of compound tubes and corner boxes. Its robust construction is designed to withstand the rigors of daily professional use, providing a reliable solution for contractors focused on speed and quality in mud-set corner bead installation.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Application:</strong> Simultaneously deposits compound on both sides of an outside 90-degree corner for balanced, professional results.</li><li><strong>Universal Compatibility:</strong> Designed to attach easily to standard industry compound tubes and corner boxes from most major manufacturers.</li><li><strong>Operational Efficiency:</strong> Accelerates the installation of mud-set corner beads by automating the application process.</li><li><strong>Consistent Output:</strong> Delivers a uniform layer of compound, minimizing the need for rework and manual smoothing.</li></ul><p><strong>Specifications:</strong></p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Platinum Drywall Tools</td></tr><tr><td>SKU</td><td>PT-OCA</td></tr><tr><td>Product Type</td><td>Outside 90 Degree Applicator</td></tr><tr><td>Application</td><td>Drywall Corner Bead Finishing</td></tr><tr><td>Compatibility</td><td>Universal (Standard Tubes/Boxes)</td></tr><tr><td>Price</td><td>$59.00</td></tr></tbody></table>","59.0","taxable","1","100.0","0","0","","","","","Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools","outside 90 head, corner applicator, mud head, PT-OCA, corner bead tool","Platinum Drywall Tools","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-oca-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-oca-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-oca-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/platinum-pt-oca-04.webp","","153","","","","0","","","","","","","Platinum Outside 90 Degree Applicator (PT","","2026-05-07","v2-production-normalized","Platinum Outside 90 Degree Applicator","The Platinum Outside 90 Degree Applicator (PT-OCA) provides a fast, uniform method for applying joint compound to external 90-degree corners. Compatible wi","","index,follow","Platinum Outside 90 Degree Applicator (PT-OCA)","","platinum-drywall-tools","Platinum Drywall Tools","tool","purchasable","corner","corner_tools","0","","","","","","","0","","","","","","ready",""
